Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
DE_08_R_U170608_BL_ADL_M__SRR17643229__R1__6bf267b2c367aeafeec6ce33515606cf_val_1	1447032.0	1933049.0	49942519.0	0.7	0.5	37.0	698950153.0	196861049.0	363732518.0	85033986.0
DE_08_R_U184095_BL_ADL_F__SRR17643228__R1__936930d54f4e0563f5763e60bf2d15fb_val_1	1241200.0	1705565.0	45980593.0	0.7	0.5	37.9	624965720.0	174469253.0	326169052.0	75400057.0
DE_08_R_U240585_BL_YRL_F__SRR17643227__R1__439b8a36e4067f0457eb4f5814facd68_val_1	213753.0	296959.0	7609981.0	0.7	0.5	37.0	109325359.0	30397450.0	57824489.0	12982727.0
DE_08_R_ZD007779_BL_YRL_F__SRR17643026__R1__dd023d2c4bb33c293e2039b21aee8d36_val_1	1469397.0	2082215.0	51377699.0	0.7	0.5	36.4	784498096.0	218509765.0	421249070.0	89809950.0
DE_09_R_U240585_BL_ADL_F__SRR17643224__R1__56b3f7ff1354199502017413cf7ec4e6_val_1	1331303.0	1837405.0	46663381.0	0.7	0.5	37.7	678925586.0	189341980.0	362757270.0	76994247.0
DE_09_R_U241924_BL_ADL_F__SRR17643223__R1__34a7531b2ff36347512da4b5647f69db_val_1	1304538.0	1742386.0	45733879.0	0.7	0.5	36.2	649090475.0	182939100.0	336736701.0	80633871.0
DE_09_R_ZD007739_BL_ADL_M__SRR17643028__R1__d7286b2ea07222521de2e5264ad61c42_val_1	1430164.0	1950088.0	51599259.0	0.6	0.5	35.4	784563940.0	219897447.0	415366642.0	94320340.0
DE_19_R_19DE043_BL_ADL_M__SRR17643067__R1__1b37b6550c557cceaa9b9198f7ec7d3c_val_1	1507760.0	1968598.0	55883624.0	0.7	0.5	38.5	761301046.0	214782123.0	397712875.0	89446066.0
DE_19_R_19DE044_BL_ADL_F__SRR17643066__R1__ad79a43c687e15ed02a5637394240fa3_val_1	1522508.0	2084103.0	53639146.0	0.7	0.5	38.5	760346502.0	211668529.0	405925702.0	85506514.0
DE_19_R_19DE054_BL_ADL_M__SRR17643065__R1__7c1f8d71e72bc6616de60697819d555d_val_1	1601003.0	2197788.0	58219313.0	0.7	0.5	38.5	839635444.0	234644309.0	450001645.0	92971386.0
DE_19_R_19DE057_BL_ADL_F__SRR17643064__R1__8d55184eac4dd1eb376af8106b199884_val_1	1333214.0	1830676.0	51042592.0	0.7	0.5	40.1	688748526.0	192405611.0	365869371.0	76267062.0
DE_19_R_19DE108_BL_ADL_M__SRR17643063__R1__e79f88f8d42ea42721e1b8eb873df071_val_1	1359952.0	1783999.0	50387584.0	0.7	0.5	38.1	687606649.0	193326284.0	358965735.0	81783095.0
DE_19_R_19DE110_BL_ADL_F__SRR17643062__R1__c4eb351aa1b150227f670c33a744575b_val_1	1324810.0	1754028.0	52475263.0	0.7	0.5	38.2	704899579.0	198667641.0	365874775.0	84803062.0
DE_20_R_20DE008_BL_ADL_F__SRR17643259__R1__07cc622bdc794b70f452c5fbee9a1c16_val_1	1347448.0	1780997.0	50160853.0	0.7	0.5	37.1	701306890.0	197523542.0	365431362.0	85062688.0
DE_20_R_20DE071_BL_ADL_M__SRR17643258__R1__0bd8241392428447f4cdfb842353ce5c_val_1	1447953.0	1946376.0	51142210.0	0.7	0.5	36.8	752252066.0	211289873.0	398410920.0	88014734.0
DE_20_R_20DE078_BL_ADL_M__SRR17643257__R1__a0d88e9fdcf96063dbc4096f783f8918_val_1	1269406.0	1660579.0	47574083.0	0.7	0.5	36.5	666005200.0	188484373.0	344191798.0	82824961.0
DE_20_R_20DE139_BL_ADL_F__SRR17643256__R1__9ee71c866a868115e51f179a63560eef_val_1	1140055.0	1577582.0	42769546.0	0.7	0.5	38.6	607063069.0	168815577.0	324776484.0	67983825.0
DE_20_R_20DE145_BL_ADL_M__SRR17643255__R1__b1bad1738e1f532f23075c9066ee956d_val_1	1462623.0	1925053.0	51411950.0	0.7	0.5	35.5	764738987.0	215472393.0	401199791.0	93267177.0
EG_15_S_1602_BL_ADL_U__SRR17643247__R1__5e06e72bfec4e1523a130d0abdeee8be_val_1	188078.0	256918.0	6436274.0	0.8	0.6	37.5	88629771.0	24599213.0	46428118.0	10721170.0
EG_15_S_1603_BL_ADL_U__SRR17643225__R1__a3b221ad7b1daf08e344f4206f171e3a_val_1	140792.0	190154.0	5351663.0	0.7	0.5	39.1	71664866.0	19985190.0	37650363.0	8346704.0
EG_15_S_1605_BL_ADL_U__SRR17643203__R1__8f98d91dea712a0ee6823e5b1bf672e8_val_1	1472142.0	2087506.0	52463830.0	0.7	0.5	37.9	761568276.0	210175090.0	409235051.0	86134657.0
EG_15_S_1608_BL_ADL_U__SRR17643098__R1__68e7c8337a94a62a86470db26daf0f22_val_1	149074.0	200755.0	5205907.0	0.7	0.5	37.2	71352080.0	19916985.0	37080721.0	8798638.0
EG_15_S_1609_BL_ADL_U__SRR17643186__R1__e0eaad7ce04b69c0e2d02d8a14d2392c_val_1	654251.0	893473.0	23747675.0	0.7	0.5	38.2	324169877.0	90444679.0	170025382.0	38404417.0
EG_15_S_1610_BL_ADL_U__SRR17643175__R1__32bae611a8b9073819c32d28c36cb1f5_val_1	172040.0	236063.0	6463511.0	0.7	0.5	39.3	85930338.0	23916870.0	45140133.0	10001721.0
EG_15_S_1611_BL_ADL_U__SRR17643030__R1__b0b915f6a9fcc79e26288f21380e6142_val_1	158148.0	215893.0	5816873.0	0.7	0.5	40.0	76568999.0	21284050.0	40386239.0	8707796.0
EG_15_S_1612_BL_ADL_U__SRR17643024__R1__bf9326dfe9811282774513c64e7d0899_val_1	153566.0	207472.0	5644016.0	0.8	0.5	39.9	73190068.0	20321566.0	38353866.0	8509582.0
FI_18_R_18FI002_BL_ADL_M__SRR17643016__R1__8ceb7d2dddb00fbf82e0e73a8ef485ec_val_1	1149975.0	1576993.0	42079371.0	0.7	0.5	40.1	572063271.0	159117043.0	305398146.0	62741743.0
FI_18_R_18FI020_BL_ADL_F__SRR17643015__R1__5f9e56d99128b818b096e88f96237234_val_1	1502228.0	2026806.0	53759443.0	0.7	0.5	37.3	764199643.0	214296868.0	402422109.0	90192189.0
FI_18_R_18FI082_BL_ADL_M__SRR17643014__R1__f7cae2daa17f2abeb35a884093518118_val_1	1283874.0	1768937.0	46992770.0	0.7	0.5	38.1	676162462.0	188615193.0	361142379.0	76359309.0
FI_19_R_19FI037_BL_ADL_M__SRR17643061__R1__206464b003f521019877ca1103f4640e_val_1	1591145.0	2196580.0	56873960.0	0.7	0.5	36.3	855279425.0	239229779.0	455484289.0	99903672.0
FI_19_R_19FI052_BL_ADL_F__SRR17643060__R1__f019dbb227c82fd35d4f3747ce20e428_val_1	1498164.0	2023766.0	53989081.0	0.7	0.5	38.0	766905695.0	214304457.0	406907323.0	88182904.0
FI_19_R_19FI067_BL_ADL_M__SRR17643059__R1__159f90595c58c8d4e052e5a37b00eb77_val_1	1593391.0	2120612.0	54624596.0	0.7	0.5	35.7	808578169.0	227364069.0	424276064.0	98599437.0
FI_19_R_19FI092_BL_ADL_M__SRR17643057__R1__96076ffa9c95e658ab83bdec0b1aa06f_val_1	1387188.0	1835574.0	49913714.0	0.7	0.5	36.2	713021288.0	200436407.0	371548230.0	87900175.0
FI_19_R_19FI106_BL_ADL_M__SRR17643056__R1__5bc8b3cd4f7fe631ebfd21cdfae53f56_val_1	1316227.0	1807120.0	47651887.0	0.7	0.5	38.5	675988264.0	188713648.0	360359136.0	76140246.0
IL_15_TV_X242014_BL_ADL_F__SRR17643168__R1__818def9d5d145c163d3fc153d04bf16a_val_1	1944429.0	2673502.0	74148576.0	0.7	0.5	39.3	1019502842.0	282782658.0	543575570.0	114378107.0
IL_15_TV_X242015_BL_ADL_F__SRR17643167__R1__00a17e54da499fa20a8a94c08ff01ccc_val_1	127830.0	175880.0	4795572.0	0.7	0.5	38.5	65564355.0	18102984.0	34699344.0	7662745.0
IL_15_TV_X242018_BL_ADL_M__SRR17643165__R1__48b3779e0fb0c8d4abe59187264d13a7_val_1	1450751.0	2015262.0	52628732.0	0.7	0.5	38.0	757699372.0	210344410.0	405397723.0	85862494.0
IL_15_TV_X242019_BL_ADL_F__SRR17643041__R1__e276d67405e77f46da71f6c879372802_val_1	186812.0	254405.0	6800199.0	0.7	0.5	39.6	91044269.0	25212347.0	48224243.0	10366263.0
IL_15_TV_X242047_BL_ADL_M__SRR17643038__R1__ef70a6dca61149fd0365207c34f92b20_val_1	193502.0	265655.0	6940283.0	0.7	0.5	38.8	95598429.0	26527223.0	50708085.0	10963681.0
IL_15_TV_X242048_BL_ADL_F__SRR17643036__R1__dafb29d22104bf35ad69436c6663acf5_val_1	565912.0	786346.0	20589299.0	0.7	0.5	37.4	281822461.0	78132894.0	147257043.0	34490967.0
IL_15_TV_X242072_BL_ADL_M__SRR17643034__R1__d7f55ea1a690cf9bf823e8883ac0cf40_val_1	197820.0	273841.0	7171490.0	0.7	0.5	38.7	98398040.0	27263939.0	52143014.0	11347936.0
IL_15_TV_X242077_BL_ADL_M__SRR17643032__R1__5866792e5b93a77dcf84fc225922b7c7_val_1	185845.0	254556.0	6701555.0	0.7	0.5	38.3	93762134.0	26054248.0	49749987.0	10815943.0
RU_13_RT_VN96011_BL_ADL_F__SRR17643222__R1__10baf97304f33b1b504feaa5a5675044_val_1	977995.0	1303535.0	36558945.0	0.7	0.5	37.7	506165687.0	140692121.0	266215654.0	60417437.0
RU_13_RT_VN96022_BL_ADL_M__SRR17643221__R1__ad92ff284dc52bc0cad8c50e691c27fb_val_1	1235978.0	1654908.0	46152179.0	0.7	0.5	38.5	610631409.0	169739937.0	318200819.0	73647588.0
RU_13_RT_VN96023_BL_ADL_M__SRR17643220__R1__bfb6317a126f8da393c76b210d01838e_val_1	1430376.0	1905940.0	55727956.0	0.7	0.5	37.6	732211982.0	203613022.0	377090120.0	92444568.0
RU_13_RT_VN96026_BL_ADL_M__SRR17643219__R1__e9b74ae1c40e87e5dc98c5e2ae4b8735_val_1	1032486.0	1434108.0	38275720.0	0.7	0.5	36.4	542137159.0	150266156.0	284335698.0	66792991.0
RU_13_RT_VN96034_BL_ADL_M__SRR17643217__R1__2e0dcf5b153e4200ebebf865ed1576ff_val_1	1181821.0	1609770.0	45304439.0	0.7	0.5	38.3	601970071.0	167254248.0	313536264.0	73083529.0
RU_13_RT_VN96035_BL_ADL_F__SRR17643216__R1__7eb03ef2de59f51a28db5dce0e6aa75d_val_1	1043840.0	1453670.0	41558111.0	0.7	0.5	39.5	562666099.0	155926869.0	298944361.0	63739248.0
RU_13_RT_VN96037_BL_ADL_M__SRR17643213__R1__3a9baefd0627e5bbdcbfd4e7a393f182_val_1	866052.0	1192859.0	32735922.0	0.7	0.5	37.1	457807011.0	126551890.0	240978047.0	55482241.0
