Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
EG_15_S_1611_BL_ADL_U__SRR17643030__R1__b0b915f6a9fcc79e26288f21380e6142_val_1	2047972.0	358824.0	35.0	281825.0	404387.0	10759027.0	606517.0	67.96413117389399	0.7	0.5	39.8	0.0	0.0	directional	1028076.0	1019861.0	142982051.0	3013313.0	39625177.0	75654364.0	16257271.0
EG_15_S_1612_BL_ADL_U__SRR17643024__R1__bf9326dfe9811282774513c64e7d0899_val_1	1981981.0	354248.0	46.0	278525.0	394954.0	10563172.0	589008.0	67.75454433264724	0.7	0.5	39.7	0.0	0.0	directional	994411.0	987524.0	138435438.0	2925237.0	38343938.0	72814958.0	16039891.0
FI_18_R_18FI002_BL_ADL_M__SRR17643016__R1__8ceb7d2dddb00fbf82e0e73a8ef485ec_val_1	14420000.0	2631267.0	451.0	1927806.0	2755186.0	73939885.0	4934216.0	65.58873416608587	0.7	0.5	39.6	0.0	0.0	directional	7232655.0	7186894.0	1009067330.0	21985483.0	279853591.0	537633649.0	112957213.0
FI_18_R_18FI020_BL_ADL_F__SRR17643015__R1__5f9e56d99128b818b096e88f96237234_val_1	19654835.0	3315438.0	491.0	2574853.0	3648001.0	97222434.0	5930271.0	68.00852952802549	0.7	0.5	37.0	0.0	0.0	directional	9830826.0	9823518.0	1393081024.0	28900544.0	389275977.0	734843581.0	165516178.0
FI_18_R_18FI082_BL_ADL_M__SRR17643014__R1__f7cae2daa17f2abeb35a884093518118_val_1	16790825.0	2840678.0	507.0	2143220.0	3086140.0	82201911.0	5156729.0	67.73708185400234	0.6	0.5	37.5	0.0	0.0	directional	8406954.0	8383364.0	1191064294.0	24788232.0	331335585.0	635418033.0	136879405.0
FI_19_R_19FI037_BL_ADL_M__SRR17643061__R1__206464b003f521019877ca1103f4640e_val_1	21155120.0	3462085.0	537.0	2651953.0	3812258.0	99260498.0	5820420.0	69.50318889860822	0.6	0.5	35.6	0.0	0.0	directional	10588852.0	10565731.0	1499323778.0	30437625.0	418205721.0	796207347.0	179186001.0
FI_19_R_19FI052_BL_ADL_F__SRR17643060__R1__f019dbb227c82fd35d4f3747ce20e428_val_1	19468541.0	3326306.0	570.0	2547228.0	3615908.0	96455605.0	5884474.0	67.88354926534001	0.7	0.5	37.5	0.0	0.0	directional	9745408.0	9722563.0	1383391949.0	28679321.0	385215191.0	735041229.0	160516788.0
FI_19_R_19FI067_BL_ADL_M__SRR17643059__R1__159f90595c58c8d4e052e5a37b00eb77_val_1	20885658.0	3467984.0	467.0	2733540.0	3800373.0	98887864.0	6540478.0	67.60399066230079	0.7	0.5	35.3	0.0	0.0	directional	10442886.0	10442305.0	1474667304.0	30894120.0	413193024.0	774966949.0	181085554.0
FI_19_R_19FI092_BL_ADL_M__SRR17643057__R1__96076ffa9c95e658ab83bdec0b1aa06f_val_1	18664069.0	3034498.0	439.0	2387648.0	3306764.0	90224769.0	5047946.0	69.78131691409642	0.7	0.5	35.8	0.0	0.0	directional	9348275.0	9315355.0	1302448511.0	26746513.0	364850994.0	680079156.0	161599180.0
FI_19_R_19FI106_BL_ADL_M__SRR17643056__R1__5bc8b3cd4f7fe631ebfd21cdfae53f56_val_1	16974150.0	2866678.0	557.0	2220367.0	3195170.0	84281394.0	5159719.0	67.89511445489572	0.7	0.5	38.0	0.0	0.0	directional	8505130.0	8468463.0	1203554225.0	25000547.0	334915578.0	641279246.0	137662470.0
IL_15_TV_X242014_BL_ADL_F__SRR17643168__R1__818def9d5d145c163d3fc153d04bf16a_val_1	25880623.0	4810373.0	488.0	3298514.0	4746918.0	131079928.0	7490048.0	67.78395844807177	0.7	0.5	38.8	0.0	0.0	directional	13026378.0	12853757.0	1812493017.0	38181044.0	501210994.0	965286263.0	206870400.0
IL_15_TV_X242015_BL_ADL_F__SRR17643167__R1__00a17e54da499fa20a8a94c08ff01ccc_val_1	1739286.0	327017.0	48.0	227784.0	328923.0	8815924.0	489766.0	68.04534619370604	0.7	0.5	38.2	0.0	0.0	directional	877651.0	861587.0	121765344.0	2556069.0	33504785.0	64628329.0	14259599.0
IL_15_TV_X242018_BL_ADL_M__SRR17643165__R1__48b3779e0fb0c8d4abe59187264d13a7_val_1	19063382.0	3360355.0	415.0	2444924.0	3559143.0	92400662.0	5650064.0	67.90452778375112	0.7	0.5	37.4	0.0	0.0	directional	9571742.0	9491225.0	1338049143.0	28073801.0	370076587.0	715230363.0	154337464.0
IL_15_TV_X242019_BL_ADL_F__SRR17643041__R1__e276d67405e77f46da71f6c879372802_val_1	2420571.0	483567.0	52.0	332150.0	474433.0	12482410.0	734284.0	66.52804430052369	0.7	0.5	39.3	0.0	0.0	directional	1216928.0	1203591.0	168955300.0	3638422.0	46653765.0	89737566.0	19274976.0
IL_15_TV_X242047_BL_ADL_M__SRR17643038__R1__ef70a6dca61149fd0365207c34f92b20_val_1	2543765.0	454851.0	72.0	345667.0	499042.0	12775721.0	750080.0	67.85732958874232	0.7	0.5	38.5	0.0	0.0	directional	1278845.0	1264848.0	177732197.0	3748696.0	49151109.0	94529761.0	20430897.0
IL_15_TV_X242048_BL_ADL_F__SRR17643036__R1__dafb29d22104bf35ad69436c6663acf5_val_1	7777615.0	1442846.0	208.0	1027505.0	1478347.0	39246203.0	2823492.0	64.57692918595747	0.7	0.5	37.5	0.0	0.0	directional	3907034.0	3870373.0	537793589.0	12043953.0	148775229.0	281840709.0	65425596.0
IL_15_TV_X242072_BL_ADL_M__SRR17643034__R1__d7f55ea1a690cf9bf823e8883ac0cf40_val_1	2581011.0	447334.0	65.0	347441.0	504017.0	13044718.0	765785.0	68.02642503024408	0.7	0.5	38.3	0.0	0.0	directional	1297962.0	1282984.0	180849607.0	3794130.0	49948860.0	96028941.0	20975630.0
IL_15_TV_X242077_BL_ADL_M__SRR17643032__R1__5866792e5b93a77dcf84fc225922b7c7_val_1	2452669.0	425478.0	56.0	326874.0	472704.0	12214759.0	713763.0	68.28314183818637	0.7	0.5	37.9	0.0	0.0	directional	1231060.0	1221553.0	172873569.0	3591910.0	47872862.0	91984379.0	20001991.0
RU_13_RT_VN96011_BL_ADL_F__SRR17643222__R1__10baf97304f33b1b504feaa5a5675044_val_1	13615275.0	2617985.0	283.0	1735021.0	2418264.0	67204281.0	4285339.0	66.35577312076715	0.7	0.5	37.4	0.0	0.0	directional	6819081.0	6795911.0	938940263.0	20518599.0	260050699.0	495052115.0	112479883.0
RU_13_RT_VN96022_BL_ADL_M__SRR17643221__R1__ad92ff284dc52bc0cad8c50e691c27fb_val_1	16642331.0	3040891.0	335.0	2255667.0	3171503.0	86824792.0	4996810.0	67.43237204878827	0.7	0.5	38.4	0.0	0.0	directional	8373437.0	8268559.0	1157036703.0	24680032.0	320858576.0	604450045.0	139476120.0
RU_13_RT_VN96023_BL_ADL_M__SRR17643220__R1__bfb6317a126f8da393c76b210d01838e_val_1	20310755.0	3734287.0	761.0	2662690.0	3703523.0	105851265.0	5779518.0	68.100769969448	0.7	0.5	37.4	0.0	0.0	directional	10231984.0	10078010.0	1400857538.0	29824560.0	388926654.0	722852215.0	176861191.0
RU_13_RT_VN96026_BL_ADL_M__SRR17643219__R1__e9b74ae1c40e87e5dc98c5e2ae4b8735_val_1	14727826.0	2643254.0	409.0	1888816.0	2762785.0	72173724.0	4129756.0	68.49885278879388	0.7	0.5	36.3	0.0	0.0	directional	7402436.0	7324981.0	1031039993.0	21500836.0	285137395.0	542550244.0	126527029.0
RU_13_RT_VN96034_BL_ADL_M__SRR17643217__R1__2e0dcf5b153e4200ebebf865ed1576ff_val_1	16327994.0	2948168.0	550.0	2164546.0	3089601.0	85125262.0	4541583.0	68.55390382254912	0.7	0.5	38.1	0.0	0.0	directional	8221223.0	8106221.0	1142917732.0	23817745.0	317034469.0	596938672.0	138565182.0
RU_13_RT_VN96035_BL_ADL_F__SRR17643216__R1__7eb03ef2de59f51a28db5dce0e6aa75d_val_1	14844199.0	2699825.0	339.0	1853851.0	2748706.0	76760427.0	4396907.0	67.65528317827534	0.6	0.5	39.2	0.0	0.0	directional	7429917.0	7413943.0	1050268270.0	21940931.0	290252434.0	559623614.0	119029238.0
RU_13_RT_VN96037_BL_ADL_M__SRR17643213__R1__3a9baefd0627e5bbdcbfd4e7a393f182_val_1	12259176.0	2133980.0	354.0	1566476.0	2277694.0	61220547.0	3171259.0	69.79552692190431	0.7	0.5	36.9	0.0	0.0	directional	6159341.0	6099481.0	863679562.0	17564415.0	238114214.0	456019928.0	104480703.0
RU_13_RT_VN96053_BL_ADL_F__SRR17643211__R1__55e85e996824566786aac3263d077f26_val_1	16381372.0	3080732.0	441.0	2011907.0	2990277.0	82257419.0	4992949.0	66.98563278517533	0.6	0.5	37.8	0.0	0.0	directional	8237484.0	8143447.0	1157667730.0	24455053.0	317935680.0	617397254.0	135075193.0
RU_13_RT_VN96054_BL_ADL_F__SRR17643209__R1__a2d6746af03096218630b8f706e10a46_val_1	13929659.0	2649641.0	385.0	1953873.0	2747664.0	72280148.0	4453796.0	66.22733524346583	0.7	0.5	38.7	0.0	0.0	directional	7001242.0	6928032.0	964811723.0	21033096.0	266943444.0	506335595.0	114550999.0
RU_13_RT_VN96055_BL_ADL_F__SRR17643208__R1__38ddf0b3c58ca5ebcdf406820234a48b_val_1	15243254.0	2839100.0	514.0	1980653.0	2858891.0	78567070.0	3764682.0	69.7726410118059	0.7	0.5	37.3	0.0	0.0	directional	7673989.0	7568751.0	1064294334.0	21847036.0	295720626.0	553161743.0	132005351.0
RU_13_RT_VN96056_BL_ADL_M__SRR17643207__R1__e64d30f188bbaa6ed94ed073adb9996b_val_1	16462577.0	2916769.0	382.0	2113022.0	2989051.0	80619595.0	4907718.0	67.78331460731523	0.7	0.5	36.7	0.0	0.0	directional	8259917.0	8202278.0	1137354975.0	24287064.0	316307916.0	596089472.0	139235919.0
RU_13_RT_VN96076_BL_ADL_F__SRR17643206__R1__0be116acce09590781dcee0531b772aa_val_1	12676194.0	2257200.0	276.0	1595286.0	2365340.0	63383005.0	3412013.0	69.09737134749858	0.6	0.5	37.4	0.0	0.0	directional	6362901.0	6313017.0	895019501.0	18345407.0	247174406.0	474494672.0	106006792.0
RU_13_RT_VN96078_BL_ADL_F__SRR17643204__R1__5b6cc0a6fc569eb9a2d0138073682293_val_1	13777847.0	2412267.0	322.0	1650711.0	2453047.0	68400591.0	3996843.0	68.2512327142719	0.6	0.5	37.5	0.0	0.0	directional	6916542.0	6860983.0	968010894.0	20186957.0	266717676.0	515022336.0	113766533.0
