Sample	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
DE_08_R_ZD007779_BL_YRL_F__SRR17643026__R1__dd023d2c4bb33c293e2039b21aee8d36_val_1	36.4	0.7	0.5	784498096.0	19349009.0	66.24424184803169
DE_09_R_U240585_BL_ADL_F__SRR17643224__R1__56b3f7ff1354199502017413cf7ec4e6_val_1	37.7	0.7	0.5	678925586.0	17110468.0	68.24425029998132
DE_09_R_U241924_BL_ADL_F__SRR17643223__R1__34a7531b2ff36347512da4b5647f69db_val_1	36.2	0.7	0.5	649090475.0	17265051.0	65.58116017800646
DE_09_R_ZD007739_BL_ADL_M__SRR17643028__R1__d7286b2ea07222521de2e5264ad61c42_val_1	35.4	0.6	0.5	784563940.0	19726283.0	70.5125228172262
DE_19_R_19DE043_BL_ADL_M__SRR17643067__R1__1b37b6550c557cceaa9b9198f7ec7d3c_val_1	38.5	0.7	0.5	761301046.0	19860684.0	68.60285156273883
DE_19_R_19DE044_BL_ADL_F__SRR17643066__R1__ad79a43c687e15ed02a5637394240fa3_val_1	38.5	0.7	0.5	760346502.0	19205212.0	68.55518499397289
DE_19_R_19DE054_BL_ADL_M__SRR17643065__R1__7c1f8d71e72bc6616de60697819d555d_val_1	38.5	0.7	0.5	839635444.0	20788950.0	67.53832213664228
DE_19_R_19DE057_BL_ADL_F__SRR17643064__R1__8d55184eac4dd1eb376af8106b199884_val_1	40.1	0.7	0.5	688748526.0	17545921.0	68.03961687155876
DE_19_R_19DE108_BL_ADL_M__SRR17643063__R1__e79f88f8d42ea42721e1b8eb873df071_val_1	38.1	0.7	0.5	687606649.0	17869455.0	67.850721278582
DE_19_R_19DE110_BL_ADL_F__SRR17643062__R1__c4eb351aa1b150227f670c33a744575b_val_1	38.2	0.7	0.5	704899579.0	18775722.0	67.30388598948645
DE_20_R_20DE008_BL_ADL_F__SRR17643259__R1__07cc622bdc794b70f452c5fbee9a1c16_val_1	37.1	0.7	0.5	701306890.0	18606819.0	66.60586634180643
DE_20_R_20DE071_BL_ADL_M__SRR17643258__R1__0bd8241392428447f4cdfb842353ce5c_val_1	36.8	0.7	0.5	752252066.0	19263694.0	67.94458647211106
DE_20_R_20DE078_BL_ADL_M__SRR17643257__R1__a0d88e9fdcf96063dbc4096f783f8918_val_1	36.5	0.7	0.5	666005200.0	17734872.0	66.92568180535132
DE_20_R_20DE139_BL_ADL_F__SRR17643256__R1__9ee71c866a868115e51f179a63560eef_val_1	38.6	0.7	0.5	607063069.0	15234062.0	68.1953604244873
DE_20_R_20DE145_BL_ADL_M__SRR17643255__R1__b1bad1738e1f532f23075c9066ee956d_val_1	35.5	0.7	0.5	764738987.0	19745733.0	68.18956568813236
EG_15_S_1602_BL_ADL_U__SRR17643247__R1__5e06e72bfec4e1523a130d0abdeee8be_val_1	37.5	0.8	0.6	88629771.0	2412801.0	67.01387326584177
EG_15_S_1603_BL_ADL_U__SRR17643225__R1__a3b221ad7b1daf08e344f4206f171e3a_val_1	39.1	0.7	0.5	71664866.0	1912716.0	67.65448151039392
EG_15_S_1605_BL_ADL_U__SRR17643203__R1__8f98d91dea712a0ee6823e5b1bf672e8_val_1	37.9	0.7	0.5	761568276.0	19157349.0	68.05447256844062
EG_15_S_1608_BL_ADL_U__SRR17643098__R1__68e7c8337a94a62a86470db26daf0f22_val_1	37.2	0.7	0.5	71352080.0	1974694.0	67.01065142410368
EG_15_S_1609_BL_ADL_U__SRR17643186__R1__e0eaad7ce04b69c0e2d02d8a14d2392c_val_1	38.2	0.7	0.5	324169877.0	8744134.0	64.5053619629277
EG_15_S_1610_BL_ADL_U__SRR17643175__R1__32bae611a8b9073819c32d28c36cb1f5_val_1	39.3	0.7	0.5	85930338.0	2314449.0	66.96763463482087
EG_15_S_1611_BL_ADL_U__SRR17643030__R1__b0b915f6a9fcc79e26288f21380e6142_val_1	40.0	0.7	0.5	76568999.0	2047972.0	67.96413117389399
EG_15_S_1612_BL_ADL_U__SRR17643024__R1__bf9326dfe9811282774513c64e7d0899_val_1	39.9	0.8	0.5	73190068.0	1981981.0	67.75454433264724
FI_18_R_18FI002_BL_ADL_M__SRR17643016__R1__8ceb7d2dddb00fbf82e0e73a8ef485ec_val_1	40.1	0.7	0.5	572063271.0	14420000.0	65.58873416608587
FI_18_R_18FI020_BL_ADL_F__SRR17643015__R1__5f9e56d99128b818b096e88f96237234_val_1	37.3	0.7	0.5	764199643.0	19654835.0	68.00852952802549
FI_18_R_18FI082_BL_ADL_M__SRR17643014__R1__f7cae2daa17f2abeb35a884093518118_val_1	38.1	0.7	0.5	676162462.0	16790825.0	67.73708185400234
FI_19_R_19FI037_BL_ADL_M__SRR17643061__R1__206464b003f521019877ca1103f4640e_val_1	36.3	0.7	0.5	855279425.0	21155120.0	69.50318889860822
FI_19_R_19FI052_BL_ADL_F__SRR17643060__R1__f019dbb227c82fd35d4f3747ce20e428_val_1	38.0	0.7	0.5	766905695.0	19468541.0	67.88354926534001
FI_19_R_19FI067_BL_ADL_M__SRR17643059__R1__159f90595c58c8d4e052e5a37b00eb77_val_1	35.7	0.7	0.5	808578169.0	20885658.0	67.60399066230079
FI_19_R_19FI092_BL_ADL_M__SRR17643057__R1__96076ffa9c95e658ab83bdec0b1aa06f_val_1	36.2	0.7	0.5	713021288.0	18664069.0	69.78131691409642
FI_19_R_19FI106_BL_ADL_M__SRR17643056__R1__5bc8b3cd4f7fe631ebfd21cdfae53f56_val_1	38.5	0.7	0.5	675988264.0	16974150.0	67.89511445489572
IL_15_TV_X242014_BL_ADL_F__SRR17643168__R1__818def9d5d145c163d3fc153d04bf16a_val_1	39.3	0.7	0.5	1019502842.0	25880623.0	67.78395844807177
IL_15_TV_X242015_BL_ADL_F__SRR17643167__R1__00a17e54da499fa20a8a94c08ff01ccc_val_1	38.5	0.7	0.5	65564355.0	1739286.0	68.04534619370604
IL_15_TV_X242018_BL_ADL_M__SRR17643165__R1__48b3779e0fb0c8d4abe59187264d13a7_val_1	38.0	0.7	0.5	757699372.0	19063382.0	67.90452778375112
IL_15_TV_X242019_BL_ADL_F__SRR17643041__R1__e276d67405e77f46da71f6c879372802_val_1	39.6	0.7	0.5	91044269.0	2420571.0	66.52804430052369
IL_15_TV_X242047_BL_ADL_M__SRR17643038__R1__ef70a6dca61149fd0365207c34f92b20_val_1	38.8	0.7	0.5	95598429.0	2543765.0	67.85732958874232
IL_15_TV_X242048_BL_ADL_F__SRR17643036__R1__dafb29d22104bf35ad69436c6663acf5_val_1	37.4	0.7	0.5	281822461.0	7777615.0	64.57692918595747
IL_15_TV_X242072_BL_ADL_M__SRR17643034__R1__d7f55ea1a690cf9bf823e8883ac0cf40_val_1	38.7	0.7	0.5	98398040.0	2581011.0	68.02642503024408
IL_15_TV_X242077_BL_ADL_M__SRR17643032__R1__5866792e5b93a77dcf84fc225922b7c7_val_1	38.3	0.7	0.5	93762134.0	2452669.0	68.28314183818637
RU_13_RT_VN96011_BL_ADL_F__SRR17643222__R1__10baf97304f33b1b504feaa5a5675044_val_1	37.7	0.7	0.5	506165687.0	13615275.0	66.35577312076715
RU_13_RT_VN96022_BL_ADL_M__SRR17643221__R1__ad92ff284dc52bc0cad8c50e691c27fb_val_1	38.5	0.7	0.5	610631409.0	16642331.0	67.43237204878827
RU_13_RT_VN96023_BL_ADL_M__SRR17643220__R1__bfb6317a126f8da393c76b210d01838e_val_1	37.6	0.7	0.5	732211982.0	20310755.0	68.100769969448
RU_13_RT_VN96026_BL_ADL_M__SRR17643219__R1__e9b74ae1c40e87e5dc98c5e2ae4b8735_val_1	36.4	0.7	0.5	542137159.0	14727826.0	68.49885278879388
RU_13_RT_VN96034_BL_ADL_M__SRR17643217__R1__2e0dcf5b153e4200ebebf865ed1576ff_val_1	38.3	0.7	0.5	601970071.0	16327994.0	68.55390382254912
RU_13_RT_VN96035_BL_ADL_F__SRR17643216__R1__7eb03ef2de59f51a28db5dce0e6aa75d_val_1	39.5	0.7	0.5	562666099.0	14844199.0	67.65528317827534
RU_13_RT_VN96037_BL_ADL_M__SRR17643213__R1__3a9baefd0627e5bbdcbfd4e7a393f182_val_1	37.1	0.7	0.5	457807011.0	12259176.0	69.79552692190431
RU_13_RT_VN96053_BL_ADL_F__SRR17643211__R1__55e85e996824566786aac3263d077f26_val_1	38.1	0.7	0.5	621236592.0	16381372.0	66.98563278517533
RU_13_RT_VN96054_BL_ADL_F__SRR17643209__R1__a2d6746af03096218630b8f706e10a46_val_1	38.9	0.7	0.5	516916421.0	13929659.0	66.22733524346583
RU_13_RT_VN96055_BL_ADL_F__SRR17643208__R1__38ddf0b3c58ca5ebcdf406820234a48b_val_1	37.5	0.7	0.5	562032747.0	15243254.0	69.7726410118059
RU_13_RT_VN96056_BL_ADL_M__SRR17643207__R1__e64d30f188bbaa6ed94ed073adb9996b_val_1	37.0	0.7	0.5	615210548.0	16462577.0	67.78331460731523
RU_13_RT_VN96076_BL_ADL_F__SRR17643206__R1__0be116acce09590781dcee0531b772aa_val_1	37.7	0.7	0.5	480926554.0	12676194.0	69.09737134749858
RU_13_RT_VN96078_BL_ADL_F__SRR17643204__R1__5b6cc0a6fc569eb9a2d0138073682293_val_1	37.8	0.6	0.5	518615767.0	13777847.0	68.2512327142719
RU_13_RT_VN96091_BL_ADL_M__SRR17643201__R1__d19771f42d12acfbc9eb26cbe0bcadc7_val_1	38.5	0.7	0.5	713563620.0	19128639.0	68.28914244975545
RU_13_RT_VN96136_BL_ADL_M__SRR17643088__R1__2c206c6edb9b407a5490c45c938c1596_val_1	37.5	0.7	0.5	730035775.0	19507086.0	67.50875218545082
RU_13_RT_VN96137_BL_ADL_F__SRR17643087__R1__5749ca6140f33ff8d530ec7e25f2a9fe_val_1	37.3	0.6	0.5	525085583.0	13651125.0	70.33394018192062
RU_13_RT_VN96138_BL_ADL_M__SRR17643084__R1__f6eba889de27472848b1c777a49a13f9_val_1	34.9	0.6	0.5	627905154.0	16865840.0	68.34591351505647
