Sample	Unique Reads	Duplicate Reads
CN_16_RG_2033_BL_ADL_M__SRR17643120__R1__f5908ae7ad441619d5818b8704570971	4616768.0	11665785.0
CN_16_RG_2033_BL_ADL_M__SRR17643120__R2__72fd4c71767ce93374287f8732c3283d	4095552.0	12187001.0
CN_16_RG_2044_BL_ADL_F__SRR17643117__R1__018d0d4074b80258bce4ee7dba7196ac	4594575.0	8547590.0
CN_16_RG_2044_BL_ADL_F__SRR17643117__R2__b35987223db093c04fbf4bfb2db1614f	3632120.0	9510045.0
CN_16_RG_2044_BL_ADL_F__SRR17643118__R1__9d60dd8a723ce0fc501c7ccfed55bb99	1631088.0	1812966.0
CN_16_RG_2044_BL_ADL_F__SRR17643118__R2__2df36e428d7ef7b0ee20a2ace1ab91f1	1426134.0	2017920.0
CN_16_RG_2050_BL_ADL_M__SRR17777320__R1__6cce2c1fa487d06beb473209ee6867a3	6530316.0	14451649.0
CN_16_RG_2050_BL_ADL_M__SRR17777320__R2__7abe17ac4593645588fb0620ce44463e	5076405.0	15905560.0
CN_16_RG_2050_BL_ADL_M__SRR17777321__R1__ac5b2cd742ab4a5b425c3fbe153f8ec3	208151.0	71672.0
CN_16_RG_2050_BL_ADL_M__SRR17777321__R2__efddf105a248bc363b2cc4ef191f8725	198048.0	81775.0
CN_16_RG_2050_BL_ADL_M__SRR17777322__R1__e468dd52640a659d9f4c1ce39666c7cc	900750.0	746254.0
CN_16_RG_2050_BL_ADL_M__SRR17777322__R2__295f5fdfcfad72d9ded2c0d9243e37ae	825959.0	821045.0
CN_16_RG_2054_BL_ADL_F__SRR17643115__R1__40ca6761181378874655bb4ffc67de56	5023602.0	14022732.0
CN_16_RG_2054_BL_ADL_F__SRR17643115__R2__7e9b718625b3f517b91aaa02cb82c4fa	4492957.0	14553377.0
CN_16_RG_2054_BL_ADL_F__SRR17643116__R1__493531dcfdd77195c1286a4c2c426c7b	1587660.0	1952304.0
CN_16_RG_2054_BL_ADL_F__SRR17643116__R2__231489260b566495e241bd72ebb45e4e	1382069.0	2157895.0
CN_16_RG_2058_BL_ADL_F__SRR17643113__R1__10e93fb99f8726b5bd21cd78029e491f	4966688.0	12902716.0
CN_16_RG_2058_BL_ADL_F__SRR17643113__R2__7c261ea80802c9e1024b59b3c3f228fa	4349274.0	13520130.0
CN_16_RG_2058_BL_ADL_F__SRR17643114__R1__c2dc561a0c87f26d5b53620b0460ca7f	1691221.0	2001154.0
CN_16_RG_2058_BL_ADL_F__SRR17643114__R2__43a107cfc317232fae92ffef2cbe4e82	1454602.0	2237773.0
CN_16_RG_2059_BL_ADL_M__SRR17643111__R1__afd1352d1f92ff67c54ef554e1157ff7	5133020.0	13449107.0
CN_16_RG_2059_BL_ADL_M__SRR17643111__R2__503c2ab5fe5a41357d7e8b0b123daf8c	4586750.0	13995377.0
CN_16_RG_2059_BL_ADL_M__SRR17643112__R1__c77da0ecdef2a14add742e2a2dd03a39	1706513.0	2045209.0
CN_16_RG_2059_BL_ADL_M__SRR17643112__R2__33ecb327db6f2c66c76812117f23c4fe	1478116.0	2273606.0
CN_16_RG_2063_BL_ADL_F__SRR17643108__R1__a536a1f093a7860d881e2b323ea5b135	4595866.0	11587307.0
CN_16_RG_2063_BL_ADL_F__SRR17643108__R2__55f3caf8c2b668bb64f48a1ad5c22fcb	4161958.0	12021215.0
CN_16_RG_2063_BL_ADL_F__SRR17643109__R1__17c45d609f814a7eb1b2a053ee8397ff	1422995.0	1537655.0
CN_16_RG_2063_BL_ADL_F__SRR17643109__R2__5901516a456643396b0e35467b47a420	1264622.0	1696028.0
CN_16_RG_2066_BL_ADL_M__SRR17643107__R1__eb787feee7a53f56ad5cfc5ec2bfd413	6856746.0	18625699.0
CN_16_RG_2066_BL_ADL_M__SRR17643107__R2__090965b406cc4d3bc377baa7cb46e1c6	5566514.0	19915931.0
CN_16_RG_2068_BL_ADL_F__SRR17643105__R1__d203dba49667f97977b64705812d4f42	6313747.0	17925019.0
CN_16_RG_2068_BL_ADL_F__SRR17643105__R2__8ec12c5147b4e6b3fbfc0b62fe0c86d9	5734310.0	18504456.0
CN_16_RG_2068_BL_ADL_F__SRR17643106__R1__73449abaa1ad16a82e2aba4caac1eafc	1717863.0	1958974.0
CN_16_RG_2068_BL_ADL_F__SRR17643106__R2__1be34d7f493abd80154ac4f786c09d40	1499845.0	2176992.0
CN_16_RG_2069_BL_ADL_M__SRR17643104__R1__0f4bf439679adeab09b193197e7c8310	5762848.0	14095188.0
CN_16_RG_2069_BL_ADL_M__SRR17643104__R2__792fd53a1aebedf377f6a5384a729d49	4805517.0	15052519.0
CN_16_RG_2070_BL_ADL_F__SRR17643102__R1__55b872714a635817e964db30c2e8c21c	5467979.0	14852174.0
CN_16_RG_2070_BL_ADL_F__SRR17643102__R2__594921f086a06a6d0e83ff4b30baf02b	4867206.0	15452947.0
CN_16_RG_2070_BL_ADL_F__SRR17643103__R1__38d2c886c50c07566937d334428ec61f	1664695.0	1962306.0
CN_16_RG_2070_BL_ADL_F__SRR17643103__R2__6df604134bcb52affd4c09794b7eb4ae	1451817.0	2175184.0
