Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CN_14_G_1104_BL_ADL_M__SRR17643147__R1__1d9d6e2c046452c89afc5d064255f7dd	CN_14_G_1104_BL_ADL_M__SRR17643147__R1__1d9d6e2c046452c89afc5d064255f7dd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23718857.0	0.0	150.0	37.0	27.4902070988064	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1104_BL_ADL_M__SRR17643147__R2__44898b3089d4481ceffaa81db81dd2e4	CN_14_G_1104_BL_ADL_M__SRR17643147__R2__44898b3089d4481ceffaa81db81dd2e4.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23718857.0	0.0	150.0	37.0	23.174004975470556	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1105_BL_ADL_F__SRR17643136__R1__1e5684ca56aaed7cfc8723140cf45674	CN_14_G_1105_BL_ADL_F__SRR17643136__R1__1e5684ca56aaed7cfc8723140cf45674.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23450467.0	0.0	150.0	35.0	30.106216184260187	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	fail
CN_14_G_1105_BL_ADL_F__SRR17643136__R2__793690e8c71c625db6755dab7925bb52	CN_14_G_1105_BL_ADL_F__SRR17643136__R2__793690e8c71c625db6755dab7925bb52.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23450467.0	0.0	150.0	36.0	23.10790881174465	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
CN_16_RG_1652_BL_ADL_F__SRR17643021__R1__0cfa3cdc92fc616780289ea33b672311	CN_16_RG_1652_BL_ADL_F__SRR17643021__R1__0cfa3cdc92fc616780289ea33b672311.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26790421.0	0.0	150.0	37.0	28.013745477151613	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_1652_BL_ADL_F__SRR17643021__R2__0748bde9837bf98795dd7cfd84bfb0e9	CN_16_RG_1652_BL_ADL_F__SRR17643021__R2__0748bde9837bf98795dd7cfd84bfb0e9.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26790421.0	0.0	150.0	38.0	22.924121417358965	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2014_BL_ADL_F__SRR17643054__R1__3701085736bcf83fd406a2eca1b603d7	CN_16_RG_2014_BL_ADL_F__SRR17643054__R1__3701085736bcf83fd406a2eca1b603d7.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20656325.0	0.0	150.0	36.0	26.102621399141523	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2014_BL_ADL_F__SRR17643054__R2__2bf134f1b37a67746eafd417745685cf	CN_16_RG_2014_BL_ADL_F__SRR17643054__R2__2bf134f1b37a67746eafd417745685cf.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20656325.0	0.0	150.0	37.0	23.829594031166675	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2014_BL_ADL_F__SRR17643055__R1__b9440af1d0ee3f2d053ba6cb21b1cbcb	CN_16_RG_2014_BL_ADL_F__SRR17643055__R1__b9440af1d0ee3f2d053ba6cb21b1cbcb.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3291525.0	0.0	150.0	36.0	46.42397331515907	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2014_BL_ADL_F__SRR17643055__R2__e68fd0fc649bfae8baac753805e88e66	CN_16_RG_2014_BL_ADL_F__SRR17643055__R2__e68fd0fc649bfae8baac753805e88e66.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3291525.0	0.0	150.0	37.0	40.796582455191455	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2017_BL_ADL_F__SRR17643053__R1__90a2c074ce9aded2eabc8f444c90dab9	CN_16_RG_2017_BL_ADL_F__SRR17643053__R1__90a2c074ce9aded2eabc8f444c90dab9.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28919211.0	0.0	150.0	37.0	26.543506927688266	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2017_BL_ADL_F__SRR17643053__R2__9fe532ea4480f2fa897de4f3d23be423	CN_16_RG_2017_BL_ADL_F__SRR17643053__R2__9fe532ea4480f2fa897de4f3d23be423.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28919211.0	0.0	150.0	38.0	21.01819726904402	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2019_BL_ADL_F__SRR17643051__R1__5e6b89aa2b0a7986f68ff908f3ce4853	CN_16_RG_2019_BL_ADL_F__SRR17643051__R1__5e6b89aa2b0a7986f68ff908f3ce4853.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2884398.0	0.0	150.0	36.0	49.34518817565524	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
CN_16_RG_2019_BL_ADL_F__SRR17643051__R2__3b8a4134500b808e5da593d807bcd5a1	CN_16_RG_2019_BL_ADL_F__SRR17643051__R2__3b8a4134500b808e5da593d807bcd5a1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2884398.0	0.0	150.0	37.0	42.59531262542654	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
