Sample	Top over-represented sequence	Sum of remaining over-represented sequences
CN_17_RG_2082_BL_ADL_F__SRR17643157__R1__32cec8f00e76b1931b6c2b15dd533ba9_val_1	0.17910837809714877	0.3386673433432287
CN_17_RG_2082_BL_ADL_F__SRR17643157__R2__88efd2820eeb1385017740592f7c5728_val_2	0.21310414632941507	0.4282059861390387
CN_17_RG_2086_BL_ADL_F__SRR17643154__R1__dfc65a86a855da304bcaec1056be33e8_val_1	0.23314726475845188	0.3171754125968527
CN_17_RG_2086_BL_ADL_F__SRR17643154__R2__844d2d55f5dc380fa8428ca22b92b97d_val_2	0.2691066893964919	0.10464577789402607
CN_17_RG_2086_BL_ADL_F__SRR17643156__R1__fbbdba2e20a5e336f7be9473daced88a_val_1	0.22633132851614407	0.22626588646655144
CN_17_RG_2086_BL_ADL_F__SRR17643156__R2__48b96a2ede754e26a5c724b2e1d6a0ed_val_2	0.2543405257417938	0.2077130654070381
CN_17_RG_2087_BL_ADL_M__SRR17643272__R1__6ccaa1e00e6095a9ba2f8eed78c0b38a_val_1	0.1229805123017193	0.4274676929764389
CN_17_RG_2087_BL_ADL_M__SRR17643272__R2__e37ddf4f5dd46998d77e6e1fc26ad8b8_val_2	0.16172500546691207	0.462481125166462
CN_17_RG_2091_BL_ADL_F__SRR17643270__R1__b9b08ea7246ad8003055c4c087036ce4_val_1	0.10181144714408444	0.10027755281362302
CN_17_RG_2091_BL_ADL_F__SRR17643270__R2__b7ae647d44ca9189cc828489c6a79124_val_2	0.0	0.0
CN_17_RG_2091_BL_ADL_F__SRR17643271__R1__f3e2650773095cc4bfc151c931869ab4_val_1	0.10169741064307308	0.0
CN_17_RG_2091_BL_ADL_F__SRR17643271__R2__9825e25dc073b725edc7c525c0bd479b_val_2	0.0	0.0
CN_17_RG_2093_BL_ADL_M__SRR17643268__R1__8ad2e44478fa23bd99accd64c76810dc_val_1	0.11924961076273302	0.23546704171075158
CN_17_RG_2093_BL_ADL_M__SRR17643268__R2__e8e15a253aed5785f8603a0882752e15_val_2	0.14109850928578188	0.12324413133424511
CN_17_RG_2093_BL_ADL_M__SRR17643269__R1__37ba84630d1f4efd2b9d2560ed0665fb_val_1	0.11915589680676299	0.23147573367323576
CN_17_RG_2093_BL_ADL_M__SRR17643269__R2__7109509289d1fa8912534281c0a92429_val_2	0.14361856870071638	0.33116571988769244
CN_17_RG_2094_BL_ADL_F__SRR17643266__R1__a24d6f2bf320202084322be5f794b5ab_val_1	0.11745812197383511	0.0
CN_17_RG_2094_BL_ADL_F__SRR17643266__R2__c0c793576f6e7207e3035db91e0e832f_val_2	0.13705062844456514	0.0
CN_17_RG_2094_BL_ADL_F__SRR17643267__R1__fbef794847220ed54548ad391a8f172e_val_1	0.11674653229153702	0.0
CN_17_RG_2094_BL_ADL_F__SRR17643267__R2__1da1690960c674fae71eed98c8b8ce18_val_2	0.13839272687861873	0.0
CN_17_RG_2099_BL_ADL_M__SRR17643264__R1__d07d7fbb0def2ff67772ea5277fae56c_val_1	0.18443660465531853	0.11685678004878958
CN_17_RG_2099_BL_ADL_M__SRR17643264__R2__96f38b9aa616d993b2eda2cabc866387_val_2	0.2533972670242405	0.12075561608378166
CN_17_RG_2099_BL_ADL_M__SRR17643265__R1__2a8e6ac49b7aef13efedce9ddb76c033_val_1	0.19060629130512555	0.11774498988388413
CN_17_RG_2099_BL_ADL_M__SRR17643265__R2__a54571ddb817143da4bed366b759fcb0_val_2	0.24882362780478773	0.11942236622144775
CN_17_RG_2102_BL_ADL_F__SRR17643254__R1__b84c31d21811d7ddd65599285b329bb4_val_1	0.21906551116127154	0.34771543286134526
CN_17_RG_2102_BL_ADL_F__SRR17643254__R2__d0df538262c018ab672c3a4fcc624eaa_val_2	0.3175481435296902	0.22644232579835577
CN_17_RG_2105_BL_ADL_F__SRR17643252__R1__8fb6ac9cbbff3219091f38c53fb10f3f_val_1	0.18059954730883637	0.26079223609595964
CN_17_RG_2105_BL_ADL_F__SRR17643252__R2__d3ebfeaee081aa1fb0d0cd1846b3569c_val_2	0.24770296937550398	0.35363538072098244
CN_17_RG_2105_BL_ADL_F__SRR17643253__R1__165e5010cdb731c05d2d214fe924f3a9_val_1	0.17934143394790222	0.25967061836148186
CN_17_RG_2105_BL_ADL_F__SRR17643253__R2__5a90234fd1fa1dbef6b8a7635c0095d7_val_2	0.25066223603507515	0.35428528480746974
CN_17_RG_2107_BL_ADL_F__SRR17643249__R1__ffde05bfb0e4a29efeb937fbb18884e0_val_1	0.14670008752822564	0.12704397175421253
CN_17_RG_2107_BL_ADL_F__SRR17643249__R2__b630f7d8c3b8c5b4ae5a8626a2cbb225_val_2	0.18766870156741836	0.10057011780836742
CN_17_RG_2107_BL_ADL_F__SRR17643250__R1__3227d3a1cc4b8b747e2dc77ef1125665_val_1	0.1464459005515697	0.12231184653736804
CN_17_RG_2107_BL_ADL_F__SRR17643250__R2__c1e7c0f923d7a0e97417c7b9277839c7_val_2	0.1871397171650147	0.0
CN_17_RG_2111_BL_ADL_F__SRR17643248__R1__f0c3d70c2264678413504f47f83fea86_val_1	0.14561451929167643	0.0
CN_17_RG_2111_BL_ADL_F__SRR17643248__R2__fc41b224b78bfacf2c10773640fee63b_val_2	0.18667375605502093	0.0
CN_17_RG_2113_BL_ADL_M__SRR17643155__R1__3efbeac594866d18d29ae820c9513dca_val_1	0.10487826440437667	0.0
CN_17_RG_2113_BL_ADL_M__SRR17643155__R2__15e56a40065da004de7a906e2386680c_val_2	0.12517688815278644	0.0
CN_17_RG_2114_BL_ADL_M__SRR17643152__R1__e77b72e76daacc69d0226cfb8e31d7d7_val_1	0.1506852836949766	0.21855659353549936
CN_17_RG_2114_BL_ADL_M__SRR17643152__R2__9dfac52f96e27cefc65a639d562e0acd_val_2	0.194302353263785	0.22045947170733324
CN_17_RG_2114_BL_ADL_M__SRR17643153__R1__31f3ed127c6e58ce6e1d8cfdf7efeba4_val_1	0.14882076097889305	0.21819688959092562
CN_17_RG_2114_BL_ADL_M__SRR17643153__R2__7c694352745ea9713dc9cb3300812fa2_val_2	0.18830170892162532	0.2255068991663486
CN_17_RG_2115_BL_ADL_F__SRR17643150__R1__42fb3431054458d6d156a285802e077c_val_1	0.10202443532760777	0.0
CN_17_RG_2115_BL_ADL_F__SRR17643150__R2__2d34c3d0b3217ec39953a3a0a904cbbd_val_2	0.11776925581955834	0.0
CN_17_RG_2115_BL_ADL_F__SRR17643151__R1__517fb4f51c035b9bc0e0beb14c964ddc_val_1	0.10916601164910317	0.10136383361629664
CN_17_RG_2115_BL_ADL_F__SRR17643151__R2__8027df563474a733ae007c3bcb94876f_val_2	0.12248129895302508	0.0
